,Unnamed: 0,LIBELLE_ARRET,pourc_validations,TRNC_HORR_60,NB_VALD,NB_VALD_HOUR
850,850,BLANC-MESNIL,3.26,11H-12H,3551.989010989011,11579.484175824175
851,851,BLANC-MESNIL,3.59,12H-13H,3551.989010989011,12751.640549450547
852,852,BLANC-MESNIL,3.28,13H-14H,3551.989010989011,11650.523956043955
853,853,BLANC-MESNIL,0.0,1H-2H,3551.989010989011,0.0
854,854,BLANC-MESNIL,1.6,4H-5H,3551.989010989011,5683.1824175824195
855,855,BLANC-MESNIL,5.11,5H-6H,3551.989010989011,18150.66384615385
856,856,BLANC-MESNIL,11.9,8H-9H,3551.989010989011,42268.669230769236
857,857,BLANC-MESNIL,5.5,9H-10H,3551.989010989011,19535.93956043956
858,858,SCEAUX,3.51,14H-15H,1589.1902173913047,5578.057663043478
859,859,SCEAUX,4.6,15H-16H,1589.1902173913047,7310.274999999999
860,860,SCEAUX,1.02,21H-22H,1589.1902173913047,1620.9740217391306
861,861,SCEAUX,0.0,2H-3H,1589.1902173913047,0.0
862,862,SCEAUX,21.19,8H-9H,1589.1902173913047,33674.94070652174
863,863,SEVRAN-BEAUDOTTES,0.04,0H-1H,8467.601123595505,338.7040449438202
864,864,SEVRAN-BEAUDOTTES,4.08,11H-12H,8467.601123595505,34547.81258426966
865,865,SEVRAN-BEAUDOTTES,3.05,19H-20H,8467.601123595505,25826.18342696629
866,866,SEVRAN-BEAUDOTTES,0.34,23H-0H,8467.601123595505,2878.984382022472
867,867,SEVRAN-BEAUDOTTES,12.4,8H-9H,8467.601123595505,104998.25393258428
868,868,SEVRAN-LIVRY,0.14,0H-1H,4117.109289617486,576.3953005464481
869,869,SEVRAN-LIVRY,4.2,15H-16H,4117.109289617486,17291.859016393442
870,870,SEVRAN-LIVRY,3.55,17H-18H,4117.109289617486,14615.737978142075
871,871,SAINT-MICHEL,1.57,0H-1H,18866.54891304348,29620.481793478262
872,872,SAINT-MICHEL,13.56,17H-18H,18866.54891304348,255830.4032608696
873,873,SAINT-MICHEL,0.49,6H-7H,18866.54891304348,9244.608967391303
874,874,SAINT-MICHEL,1.59,7H-8H,18866.54891304348,29997.812771739136
875,875,SAINT-REMY-LES-CHEVREUSE,3.06,10H-11H,1296.5819209039548,3967.5406779661016
876,876,SAINT-REMY-LES-CHEVREUSE,0.38,21H-22H,1296.5819209039548,492.7011299435029
877,877,SAINT-REMY-LES-CHEVREUSE,1.1,5H-6H,1296.5819209039548,1426.2401129943505
878,878,SAINT-REMY-LES-CHEVREUSE,7.65,6H-7H,1296.5819209039548,9918.851694915254
879,879,VERT-GALANT,4.19,10H-11H,5518.695652173914,23123.334782608697
880,880,VERT-GALANT,4.8,15H-16H,5518.695652173914,26489.73913043478
881,881,VERT-GALANT,1.03,20H-21H,5518.695652173914,5684.256521739129
882,882,VERT-GALANT,0.05,2H-3H,5518.695652173914,275.9347826086957
883,883,VERT-GALANT,12.38,5H-6H,5518.695652173914,68321.45217391304
884,884,VERT-GALANT,10.53,8H-9H,5518.695652173914,58111.8652173913
885,885,VILLEPARISIS-MITRY-LE-NEUF,3.18,12H-13H,2825.5792349726776,8985.341967213115
886,886,VILLEPARISIS-MITRY-LE-NEUF,3.35,16H-17H,2825.5792349726776,9465.69043715847
887,887,VILLEPARISIS-MITRY-LE-NEUF,0.0,1H-2H,2825.5792349726776,0.0
888,888,VILLEPARISIS-MITRY-LE-NEUF,0.95,20H-21H,2825.5792349726776,2684.3002732240434
889,889,VILLEPARISIS-MITRY-LE-NEUF,0.24,22H-23H,2825.5792349726776,678.1390163934426
890,890,VILLEPINTE,2.39,18H-19H,2540.7845303867402,6072.475027624309
891,891,VILLEPINTE,0.35,22H-23H,2540.7845303867402,889.274585635359
892,892,VILLEPINTE,0.16,23H-0H,2540.7845303867402,406.5255248618785
893,893,VILLEPINTE,0.9,2H-3H,2540.7845303867402,2286.706077348066
894,894,VILLEPINTE,2.5,3H-4H,2540.7845303867402,6351.96132596685
895,895,CITE UNIVERSITAIRE,11.17,17H-18H,16885.853260869564,188614.98092391304
896,896,CITE UNIVERSITAIRE,10.68,18H-19H,16885.853260869564,180340.91282608692
897,897,CITE UNIVERSITAIRE,4.64,20H-21H,16885.853260869564,78350.35913043478
898,898,CITE UNIVERSITAIRE,0.03,2H-3H,16885.853260869564,506.5755978260869
899,899,CITE UNIVERSITAIRE,10.77,8H-9H,16885.853260869564,181860.6396195652
900,900,CITE UNIVERSITAIRE,7.35,9H-10H,16885.853260869564,124111.02146739127
901,901,ANTONY,4.42,12H-13H,11292.179347826086,49911.4327173913
902,902,ANTONY,1.17,21H-22H,11292.179347826086,13211.84983695652
903,903,ANTONY,0.98,22H-23H,11292.179347826086,11066.335760869562
904,904,COURCELLE-SUR-YVETTE,0.01,0H-1H,567.2142857142858,5.672142857142857
905,905,COURCELLE-SUR-YVETTE,6.23,13H-14H,567.2142857142858,3533.745
906,906,COURCELLE-SUR-YVETTE,11.86,16H-17H,567.2142857142858,6727.161428571429
907,907,COURCELLE-SUR-YVETTE,13.02,17H-18H,567.2142857142858,7385.129999999999
908,908,COURCELLE-SUR-YVETTE,1.88,19H-20H,567.2142857142858,1066.3628571428571
909,909,COURCELLE-SUR-YVETTE,0.01,1H-2H,567.2142857142858,5.672142857142857
910,910,COURCELLE-SUR-YVETTE,3.6,6H-7H,567.2142857142858,2041.9714285714285
911,911,COURCELLE-SUR-YVETTE,4.11,9H-10H,567.2142857142858,2331.2507142857144
912,912,ARCUEIL-CACHAN,0.17,0H-1H,8561.91847826087,1455.5261413043481
