,insee,TauxProprietaires,TauxChomage,NiveauVieMedian,densitehabkm2,dipl_su_tx,no2,o3,pm10,Tour1Candidat1,tp,medianendv,nb_redevables,patrimoineeuro,impotmoyeneuro,prixm2
621,91044,73.40619308,7.900386432,26944.0,944.75,0.41146168705730846,22.865384615384617,31.85164835164835,27.604395604395606,MACRON Emmanuel,7.0,26943.8888889,,,,3576.0
630,91587,71.31967604,8.671988389,25192.0,656.088082902,0.36054109559188463,23.21153846153846,31.824175824175825,27.9010989010989,MACRON Emmanuel,6.0,25192.4,,,,3011.0
639,78686,63.37884951,6.69705026,33254.0,4492.28571429,0.645104081201855,23.782967032967033,29.87087912087912,27.126373626373628,MACRON Emmanuel,5.0,33253.75,,,,5085.0
648,91589,64.54112038,11.61479232,24013.0,5297.004279600001,0.36101773161566425,25.13186813186813,31.21153846153846,29.35164835164835,MACRON Emmanuel,12.0,24012.6666667,,,,3236.0
657,91479,62.33766234,10.37762238,23994.0,1183.33333333,0.24513969679209124,27.164835164835164,30.782967032967033,30.810439560439562,LE PEN Marine,9.0,23994.0,,,,3826.0
666,94016,39.1563007,13.51238228,23126.0,10217.2661871,0.4751515794048748,28.313186813186814,30.087912087912088,31.62912087912088,MACRON Emmanuel,15.0,23125.641025599998,,,,4543.0
675,92040,39.59721,8.483412322000001,30422.0,15370.8235294,0.6101862464628586,26.03021978021978,29.27747252747253,29.912087912087912,MACRON Emmanuel,8.0,30422.0,307.0,1989043.76547231,6380.88273615635,6729.0
684,94065,65.44021025,7.37921906,28743.0,1352.61904762,0.43498876965310707,27.681318681318682,30.354395604395606,31.13186813186813,MACRON Emmanuel,5.0,28742.6666667,,,,4112.0
693,92007,24.10250212,16.41446399,18738.0,9091.38755981,0.34288906803483793,27.854395604395606,30.208791208791208,31.296703296703296,MÉLENCHON Jean-Luc,21.0,18738.3333333,,,,4425.0
702,92049,40.80994354,9.818102918,27477.0,23531.4009662,0.5687486782685599,28.266483516483518,29.03021978021978,31.681318681318682,MACRON Emmanuel,11.0,27477.3333333,158.0,2220990.12658228,9363.35443037975,6117.0
711,92075,43.6899084,9.908599917,27857.0,17321.7948718,0.5588107918827432,27.384615384615383,28.744505494505493,30.96153846153846,MACRON Emmanuel,9.0,27857.0,140.0,2042435.27142857,7333.36428571429,5837.0
720,92046,27.72396238,12.23898984,23087.0,14863.7681159,0.4365848408524623,26.796703296703296,29.153846153846153,30.568681318681318,MÉLENCHON Jean-Luc,13.0,23087.222222200002,61.0,2216358.55737705,7814.26229508197,5652.0
729,91326,45.02998596,11.8675466,22478.0,6692.37668161,0.42158904784203605,25.016483516483518,30.86813186813187,29.315934065934066,MACRON Emmanuel,14.0,22477.777777799998,,,,3184.0
738,94021,41.51888975,10.37539103,20925.0,4391.46919431,0.3284972852257906,28.65934065934066,30.417582417582416,31.64010989010989,MÉLENCHON Jean-Luc,16.0,20925.2,,,,3344.0
747,94076,38.88090609,14.89268984,19468.0,10571.4555766,0.3567419585883941,29.945054945054945,29.958791208791208,32.73351648351648,MÉLENCHON Jean-Luc,21.0,19468.4615385,,,,4323.0
756,94073,52.07701762,12.24831046,22431.0,4538.66459627,0.3467335491829207,29.057692307692307,30.453296703296704,31.945054945054945,MACRON Emmanuel,15.0,22431.25,,,,3427.0
765,91027,44.37626282,9.381844731000001,20835.0,3460.67285383,0.3022888184217057,25.75,30.818681318681318,30.134615384615383,MÉLENCHON Jean-Luc,16.0,20835.3333333,,,,3139.0
774,92012,43.74326059,9.831897814,31777.0,18897.560975599998,0.6371394870553954,26.942307692307693,29.002747252747252,30.486263736263737,FILLON François,9.0,31777.3333333,1661.0,2188566.2576761,8092.75857916918,7360.0
783,94037,22.72350503,15.22517634,19914.0,14437.606837600002,0.3753275811840163,29.392857142857142,28.74175824175824,32.59615384615385,MÉLENCHON Jean-Luc,20.0,19913.809523800002,,,,5040.0
792,94003,30.19387755,14.16583052,21500.0,8626.60944206,0.4086816208601406,28.51098901098901,29.07967032967033,31.906593406593405,MÉLENCHON Jean-Luc,17.0,21500.434782599998,,,,4611.0
801,94043,27.08369136,14.15129565,21805.0,16750.6410256,0.4479337883031074,29.931318681318682,29.002747252747252,32.90384615384615,MACRON Emmanuel,17.0,21805.0,,,,4983.0
810,94038,47.43510981,12.35302068,22273.0,7839.48717949,0.3896441502267362,28.912087912087912,30.45054945054945,31.835164835164836,MACRON Emmanuel,16.0,22273.414634099998,52.0,2036460.38461538,7612.44230769231,3888.0
819,94081,36.92671138,17.53891573,17943.0,7407.80445969,0.2914840661736907,31.28021978021978,30.20054945054945,33.20054945054945,MÉLENCHON Jean-Luc,24.0,17943.3333333,,,,3704.0
828,94041,28.64664657,16.40507142,17663.0,9491.84339315,0.3663014681473542,31.807692307692307,28.967032967032967,33.67032967032967,MÉLENCHON Jean-Luc,28.0,17662.8571429,,,,4310.0
837,75103,33.70630066,10.69774038,31333.0,,0.6962982498623731,31.662087912087912,27.513736263736263,33.52472527472528,,13.0,31333.0,681.0,2524440.65051395,11379.8795888399,
846,75101,33.51351351,10.88736446,32697.0,,0.6508118584429072,31.373626373626372,27.51923076923077,33.06318681318681,,11.0,32697.3333333,482.0,2692822.67219917,12570.3589211618,
855,75114,31.36217834,11.79860993,27288.0,,0.6187149938934848,30.456043956043956,28.752747252747252,32.777472527472526,,13.0,27287.6,1655.0,2294996.97039275,9172.5081570997,
864,75107,38.16176731,9.563433702000001,42466.0,,0.7229789438244316,32.51648351648352,27.807692307692307,33.104395604395606,,8.0,42465.555555599996,3913.0,3086755.64119601,15497.6912854587,
873,75113,26.96524789,12.85623544,23751.0,,0.5449128980515551,31.791208791208792,28.48076923076923,33.84340659340659,,17.0,23750.684782599998,887.0,2136714.69334837,8131.57271702368,
882,75102,34.33637371,10.78336196,30567.0,,0.6947052371513962,32.40659340659341,27.50824175824176,33.54120879120879,,14.0,30566.5,270.0,2225963.43333333,8608.2037037037,
891,75105,34.24749985,9.7437994,33169.0,,0.7309662792473383,31.12087912087912,27.983516483516482,33.18131868131868,,10.0,33169.3333333,1550.0,2315261.58903226,9055.89096774194,
900,75106,39.66931158,10.13773222,39063.0,,0.7332180595598,30.85989010989011,27.931318681318682,32.9010989010989,,9.0,39062.6666667,2588.0,2763411.1866306,12679.5401854714,
909,75115,31.38565076,9.906765479,30448.0,,0.6569398934586358,30.947802197802197,28.585164835164836,32.47527472527472,,12.0,30448.0,2948.0,2189492.22523745,8301.9328358209,
918,75109,38.41813253,9.918066935,33258.0,,0.7059760239201199,32.2967032967033,27.51098901098901,33.18681318681319,,12.0,33258.0,1045.0,2203110.7569378,8352.5961722488,
927,75104,33.98355326,10.55800104,31007.0,,0.6974560691992172,31.917582417582416,27.815934065934066,33.64835164835165,,12.0,31007.222222200002,811.0,2696138.07398274,12966.6448828607,
936,75108,36.39868466,9.082795191,40540.0,,0.6893214717956951,32.870879120879124,27.623626373626372,33.417582417582416,,9.0,40540.0,1969.0,2800935.38496699,13268.6196038598,
945,94018,38.72652831,10.62172938,27571.0,16066.304347799998,0.5177946657388816,31.456043956043956,28.38186813186813,33.19505494505494,MACRON Emmanuel,10.0,27570.952381,189.0,2152216.3015873,8019.74603174603,6347.0
954,75111,34.56564789,11.964336099999999,26810.0,,0.6336748660974704,32.895604395604394,27.86263736263736,33.9478021978022,,15.0,26810.3333333,985.0,2121354.34010152,7816.45685279188,
963,75110,35.95376926,12.14414677,25618.0,,0.6233095579888368,32.989010989010985,27.89010989010989,33.815934065934066,,18.0,25618.0,482.0,2171289.51659751,8380.4979253112,
972,91434,65.26740187,12.91124713,23062.0,4804.33789954,0.31140094060481793,23.72252747252747,31.4010989010989,27.925824175824175,MÉLENCHON Jean-Luc,12.0,23062.0,,,,3059.0
981,75116,44.82006149,10.226555099999999,38387.0,,0.6660797529104632,32.964285714285715,28.802197802197803,33.09615384615385,,11.0,38387.0,8502.0,2730206.15843331,12280.6290284639,
990,92072,53.27159251,10.60541734,30755.0,5923.15521628,0.5764962250401684,25.046703296703296,29.607142857142858,28.725274725274726,MACRON Emmanuel,8.0,30755.0,247.0,2030027.99595142,6888.87854251012,5408.0
999,92044,36.65561407,10.03988209,30931.0,26706.1983471,0.5930904623241935,31.835164835164836,27.78846153846154,32.86538461538461,FILLON François,9.0,30930.6666667,546.0,2236646.47252747,8473.02014652015,7818.0
1008,92051,49.75719736,9.442028986,43849.0,16612.096774200003,0.6727299020721194,31.692307692307693,28.043956043956044,32.78846153846154,FILLON François,8.0,43848.6666667,3387.0,2835535.10924122,13717.3359905521,8590.0
1017,92064,51.30987444,8.719661849,36616.0,3882.18085106,0.6468852530175299,25.92032967032967,29.63736263736264,29.552197802197803,FILLON François,6.0,36616.0,585.0,2349573.25128205,8917.90256410256,6153.0
1026,75117,35.12156686,11.52048656,30282.0,,0.6332397120102766,33.28846153846154,28.123626373626372,33.56318681318681,,14.0,30281.5,3419.0,2395147.95086283,9581.77595788242,
1035,93061,25.59990206,17.80245849,19257.0,25821.428571400003,0.35026881064879317,32.247252747252745,28.412087912087912,32.47527472527472,MÉLENCHON Jean-Luc,22.0,19256.5,,,,5059.0
1044,93070,22.62824408,17.61072217,17329.0,11190.3981265,0.35489427252294303,32.967032967032964,28.766483516483518,33.167582417582416,MÉLENCHON Jean-Luc,28.0,17328.6666667,,,,4717.0
