,insee,TauxProprietaires,TauxChomage,NiveauVieMedian,densitehabkm2,dipl_su_tx,no2,o3,pm10,Tour1Candidat1,tp,medianendv,nb_redevables,patrimoineeuro,impotmoyeneuro,prixm2
1179,93015,84.30735931,8.906711693,25472.0,1121.9047619,0.3149092741518287,27.263736263736263,31.15934065934066,31.162087912087912,LE PEN Marine,5.0,25472.2580645,,,,2942.0
1188,93047,62.14778771,14.64962539,18621.0,4790.22140221,0.21928239970454622,27.623626373626372,31.189560439560438,31.197802197802197,MÉLENCHON Jean-Luc,25.0,18621.4814815,,,,3009.0
1197,77139,81.47985989,10.65217391,25339.0,1516.90821256,0.2983812416636028,26.703296703296704,31.214285714285715,31.214285714285715,MACRON Emmanuel,7.0,25338.571428599997,,,,2990.0
1206,93046,57.39048568,12.69546657,20447.0,5711.41304348,0.27518506220204497,28.846153846153847,30.994505494505493,31.733516483516482,MACRON Emmanuel,17.0,20446.6666667,,,,2968.0
1215,93073,57.97716402,15.65176581,20010.0,1525.09960159,0.22517954348324298,28.88736263736264,31.337912087912088,32.33791208791209,MÉLENCHON Jean-Luc,17.0,20009.565217400002,,,,2884.0
1224,95277,42.5793908,17.34627832,17626.0,1306.20689655,0.2136213679766031,28.89835164835165,31.653846153846153,31.57967032967033,MÉLENCHON Jean-Luc,24.0,17626.25,,,,2712.0
1233,93007,41.21068069,21.85027863,15804.0,6385.73185732,0.1728467763644643,30.01923076923077,30.365384615384617,31.63186813186813,MÉLENCHON Jean-Luc,32.0,15803.75,,,,3138.0
1242,95088,68.4754522,17.46031746,21597.0,149.57983193299998,0.2446954485382596,28.45054945054945,30.939560439560438,30.804945054945055,LE PEN Marine,,21597.3529412,,,,3130.0
1251,95527,31.57492355,9.853817001,24477.0,201.900070373,0.2803030303030303,27.22252747252747,31.153846153846153,31.21978021978022,LE PEN Marine,,24476.6666667,,,,3318.0
1260,93030,14.24691358,21.12341772,15584.0,2779.12371134,0.18441026898572868,29.585164835164836,30.502747252747252,30.824175824175825,MÉLENCHON Jean-Luc,33.0,15584.2307692,,,,2509.0
1269,93078,57.64775514,20.610271899999997,17933.0,3440.49904031,0.21104831173035252,28.895604395604394,30.983516483516482,31.87087912087912,MÉLENCHON Jean-Luc,22.0,17933.0,,,,2590.0
