,date,ninsee,no2,o3,pm10
387210,24/10/2017,93027,30,16,20
387211,24/10/2017,93029,30,15,24
387232,24/10/2017,93066,29,17,19
387239,24/10/2017,93078,27,15,22
387243,24/10/2017,94003,23,14,19
387256,24/10/2017,94037,25,14,20
387432,24/10/2017,95527,26,16,20
387484,25/10/2017,75103,35,17,29
387486,25/10/2017,75105,34,18,29
387491,25/10/2017,75110,36,18,29
387495,25/10/2017,75114,33,20,29
388241,25/10/2017,78575,20,24,17
388315,25/10/2017,91122,22,24,19
388357,25/10/2017,91272,23,24,19
388383,25/10/2017,91377,27,23,20
388407,25/10/2017,91471,24,24,19
388409,25/10/2017,91477,26,24,20
388474,25/10/2017,92002,29,23,24
388479,25/10/2017,92014,30,21,24
388511,25/10/2017,93005,30,18,29
388513,25/10/2017,93007,32,18,30
388516,25/10/2017,93013,35,18,30
388519,25/10/2017,93027,38,18,30
388520,25/10/2017,93029,35,18,30
388541,25/10/2017,93066,44,20,30
388548,25/10/2017,93078,27,18,27
388552,25/10/2017,94003,32,20,27
388565,25/10/2017,94037,32,20,27
388741,25/10/2017,95527,27,19,27
388793,26/10/2017,75103,42,5,60
388795,26/10/2017,75105,40,5,60
388800,26/10/2017,75110,43,5,60
388804,26/10/2017,75114,40,4,59
389550,26/10/2017,78575,25,13,34
389624,26/10/2017,91122,27,9,34
389666,26/10/2017,91272,28,11,35
389692,26/10/2017,91377,33,5,42
389716,26/10/2017,91471,29,8,37
389718,26/10/2017,91477,31,7,40
389783,26/10/2017,92002,35,4,49
389788,26/10/2017,92014,36,3,50
389820,26/10/2017,93005,34,7,44
389822,26/10/2017,93007,33,6,45
389825,26/10/2017,93013,35,6,47
389828,26/10/2017,93027,39,6,50
389829,26/10/2017,93029,36,5,47
389850,26/10/2017,93066,43,7,55
389857,26/10/2017,93078,36,7,42
389861,26/10/2017,94003,36,3,54
389874,26/10/2017,94037,37,3,55
390050,26/10/2017,95527,31,10,42
390102,27/10/2017,75103,33,23,39
390104,27/10/2017,75105,32,23,39
390109,27/10/2017,75110,37,23,40
390113,27/10/2017,75114,34,23,37
390859,27/10/2017,78575,26,25,34
390933,27/10/2017,91122,28,26,34
390975,27/10/2017,91272,29,26,34
391001,27/10/2017,91377,33,23,34
391025,27/10/2017,91471,30,25,34
391027,27/10/2017,91477,32,24,34
391092,27/10/2017,92002,33,23,34
391097,27/10/2017,92014,32,23,34
391129,27/10/2017,93005,33,24,35
391131,27/10/2017,93007,32,24,35
391134,27/10/2017,93013,32,23,35
391137,27/10/2017,93027,34,23,37
391138,27/10/2017,93029,33,23,35
391159,27/10/2017,93066,38,23,40
391166,27/10/2017,93078,33,24,35
391170,27/10/2017,94003,32,23,35
391183,27/10/2017,94037,32,23,35
391359,27/10/2017,95527,27,25,34
391411,28/10/2017,75103,27,23,29
391413,28/10/2017,75105,26,23,29
391418,28/10/2017,75110,29,23,29
391422,28/10/2017,75114,27,24,27
392168,28/10/2017,78575,16,27,19
392242,28/10/2017,91122,19,28,19
392284,28/10/2017,91272,19,28,19
392310,28/10/2017,91377,26,27,22
392334,28/10/2017,91471,21,28,19
392336,28/10/2017,91477,24,27,20
392401,28/10/2017,92002,26,27,24
392406,28/10/2017,92014,26,25,24
392438,28/10/2017,93005,26,25,29
392440,28/10/2017,93007,25,25,27
392443,28/10/2017,93013,25,24,27
392446,28/10/2017,93027,27,25,27
392447,28/10/2017,93029,26,24,27
392468,28/10/2017,93066,30,25,27
